Name,Price,Link,Tag,Images,Colors
Standard Cloth Liam Cropped Short Sleeve Shirt,$49.00,https://www.urbanoutfitters.com/shop/standard-cloth-liam-cropped-short-sleeve-shirt?category=mens-clothing&color=014,N/A,", , , , , https://images.urbndata.com/is/image/UrbanOutfitters/90292103_014_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/90292103_001_s?fit=constrain&hei=56&qlt=75","Rainy Day: https://images.urbndata.com/is/image/UrbanOutfitters/90292103_014_s?fit=constrain&hei=56&qlt=75, Black: https://images.urbndata.com/is/image/UrbanOutfitters/90292103_001_s?fit=constrain&hei=56&qlt=75"
The North Face Class V Pathfinder Belted Short,$59.50,https://www.urbanoutfitters.com/shop/the-north-face-class-v-pathfinder-belted-short?category=mens-clothing&color=036,Top Rated,", , , , , https://images.urbndata.com/is/image/UrbanOutfitters/86583994_036_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/86583994_033_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/86583994_004_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/86583994_044_s?fit=constrain&hei=56&qlt=75","Forest Olive: https://images.urbndata.com/is/image/UrbanOutfitters/86583994_036_s?fit=constrain&hei=56&qlt=75, Optic Emerald: https://images.urbndata.com/is/image/UrbanOutfitters/86583994_033_s?fit=constrain&hei=56&qlt=75, Gravel: https://images.urbndata.com/is/image/UrbanOutfitters/86583994_004_s?fit=constrain&hei=56&qlt=75, Steel Blue: https://images.urbndata.com/is/image/UrbanOutfitters/86583994_044_s?fit=constrain&hei=56&qlt=75"
Nike UO Exclusive Cropped Swim Shirt,$54.00,https://www.urbanoutfitters.com/shop/nike-uo-exclusive-cropped-swim-shirt?category=mens-clothing&color=001,UO Exclusive,", , , , https://images.urbndata.com/is/image/UrbanOutfitters/87590634_066_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/87590634_001_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/87590634_010_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/87590634_030_s?fit=constrain&hei=56&qlt=75","Playful Pink: https://images.urbndata.com/is/image/UrbanOutfitters/87590634_066_s?fit=constrain&hei=56&qlt=75, Black: https://images.urbndata.com/is/image/UrbanOutfitters/87590634_001_s?fit=constrain&hei=56&qlt=75, White: https://images.urbndata.com/is/image/UrbanOutfitters/87590634_010_s?fit=constrain&hei=56&qlt=75, Green: https://images.urbndata.com/is/image/UrbanOutfitters/87590634_030_s?fit=constrain&hei=56&qlt=75"
N/A,N/A,https://www.urbanoutfitters.com/uo-community-pride-2024?inline1=1,N/A,https://images.ctfassets.net/q602vtcuu3w3/3ZJhJE5dgd81UsOA1C6sih/bd966e850e1e831760584d64da60ff3c/23_JUN_WK5_PRIDE-INLINE-BANNERS-EN-GENERAL-PRIDE.jpg?w=445&q=80&fm=jpg&fl=progressive,
Standard Cloth Reverse Terry Foundation Sweatpant,$49.00,https://www.urbanoutfitters.com/shop/standard-cloth-reverse-terry-foundation-sweatpant?category=mens-clothing&color=006,N/A,", , , , , , https://images.urbndata.com/is/image/UrbanOutfitters/84744705_026_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/84744705_005_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/84744705_040_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/84744705_006_s?fit=constrain&hei=56&qlt=75","Chutney: https://images.urbndata.com/is/image/UrbanOutfitters/84744705_026_s?fit=constrain&hei=56&qlt=75, Tan: https://images.urbndata.com/is/image/UrbanOutfitters/84744705_005_s?fit=constrain&hei=56&qlt=75, Blue: https://images.urbndata.com/is/image/UrbanOutfitters/84744705_040_s?fit=constrain&hei=56&qlt=75, Light Grey: https://images.urbndata.com/is/image/UrbanOutfitters/84744705_006_s?fit=constrain&hei=56&qlt=75"
Standard Cloth Liam Stripe Crinkle Shirt,$39.00 – $49.00,https://www.urbanoutfitters.com/shop/standard-cloth-liam-stripe-crinkle-shirt?category=mens-clothing&color=046,Top Rated,", , , , https://images.urbndata.com/is/image/UrbanOutfitters/80687577_046_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/80687577_029_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/80687577_041_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/80687577_009_s?fit=constrain&hei=56&qlt=75","Turquoise: https://images.urbndata.com/is/image/UrbanOutfitters/80687577_046_s?fit=constrain&hei=56&qlt=75, Brown Multi: https://images.urbndata.com/is/image/UrbanOutfitters/80687577_029_s?fit=constrain&hei=56&qlt=75, Navy: https://images.urbndata.com/is/image/UrbanOutfitters/80687577_041_s?fit=constrain&hei=56&qlt=75, Black Multi: https://images.urbndata.com/is/image/UrbanOutfitters/80687577_009_s?fit=constrain&hei=56&qlt=75"
Nike Packable Belted Cargo Short,$65.00,https://www.urbanoutfitters.com/shop/nike-packable-belted-cargo-short?category=mens-clothing&color=045,N/A,", , , , https://images.urbndata.com/is/image/UrbanOutfitters/59299438_036_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/59299438_045_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/59299438_033_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/59299438_044_s?fit=constrain&hei=56&qlt=75","Khaki: https://images.urbndata.com/is/image/UrbanOutfitters/59299438_036_s?fit=constrain&hei=56&qlt=75, Court Blue: https://images.urbndata.com/is/image/UrbanOutfitters/59299438_045_s?fit=constrain&hei=56&qlt=75, Bicoastal: https://images.urbndata.com/is/image/UrbanOutfitters/59299438_033_s?fit=constrain&hei=56&qlt=75, Aquarius Blue: https://images.urbndata.com/is/image/UrbanOutfitters/59299438_044_s?fit=constrain&hei=56&qlt=75"
Standard Cloth Football Jersey,$49.00,https://www.urbanoutfitters.com/shop/standard-cloth-football-jersey?category=mens-clothing&color=041,N/A,", , , , https://images.urbndata.com/is/image/UrbanOutfitters/89801385_041_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/89801385_010_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/89801385_072_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/89801385_040_s?fit=constrain&hei=56&qlt=75","Estate Blue: https://images.urbndata.com/is/image/UrbanOutfitters/89801385_041_s?fit=constrain&hei=56&qlt=75, Bright White: https://images.urbndata.com/is/image/UrbanOutfitters/89801385_010_s?fit=constrain&hei=56&qlt=75, Yellow Iris: https://images.urbndata.com/is/image/UrbanOutfitters/89801385_072_s?fit=constrain&hei=56&qlt=75, Blue: https://images.urbndata.com/is/image/UrbanOutfitters/89801385_040_s?fit=constrain&hei=56&qlt=75"
Cookman Chef Short,$45.00,https://www.urbanoutfitters.com/shop/cookman-chef-short?category=mens-clothing&color=020,N/A,", , , , https://images.urbndata.com/is/image/UrbanOutfitters/88862206_020_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/88862206_042_s?fit=constrain&hei=56&qlt=75","Canvas Brown: https://images.urbndata.com/is/image/UrbanOutfitters/88862206_020_s?fit=constrain&hei=56&qlt=75, Hickory Navy: https://images.urbndata.com/is/image/UrbanOutfitters/88862206_042_s?fit=constrain&hei=56&qlt=75"
N/A,N/A,https://www.urbanoutfitters.com/the-marias?inline1=1,N/A,https://images.ctfassets.net/q602vtcuu3w3/6BkZCFX9VvIK1pawOaD7P3/519accd7277ebd8334707d9b742fa183/24_MAY_WK4_PARTNERSHIP_THE_MARIAS_EM15.jpg?w=445&q=80&fm=jpg&fl=progressive,
BDG Americana Game Day Muscle Tee,$39.00,https://www.urbanoutfitters.com/shop/bdg-americana-game-day-muscle-tee?category=mens-clothing&color=060,N/A,", , , , , , https://images.urbndata.com/is/image/UrbanOutfitters/90952631_040_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/90952631_060_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/90952631_006_s?fit=constrain&hei=56&qlt=75","Blue Fusion: https://images.urbndata.com/is/image/UrbanOutfitters/90952631_040_s?fit=constrain&hei=56&qlt=75, Red: https://images.urbndata.com/is/image/UrbanOutfitters/90952631_060_s?fit=constrain&hei=56&qlt=75, Gray Heather: https://images.urbndata.com/is/image/UrbanOutfitters/90952631_006_s?fit=constrain&hei=56&qlt=75"
BDG Bonfire Volley Sweatshort,$39.00,https://www.urbanoutfitters.com/shop/bdg-bonfire-volley-sweatshort?category=mens-clothing&color=082,N/A,", , , , , https://images.urbndata.com/is/image/UrbanOutfitters/87887733_082_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/87887733_021_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/87887733_070_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/87887733_034_s?fit=constrain&hei=56&qlt=75","Medium Orange: https://images.urbndata.com/is/image/UrbanOutfitters/87887733_082_s?fit=constrain&hei=56&qlt=75, Chocolate Brown: https://images.urbndata.com/is/image/UrbanOutfitters/87887733_021_s?fit=constrain&hei=56&qlt=75, Bright Gold: https://images.urbndata.com/is/image/UrbanOutfitters/87887733_070_s?fit=constrain&hei=56&qlt=75, Aloe Wash: https://images.urbndata.com/is/image/UrbanOutfitters/87887733_034_s?fit=constrain&hei=56&qlt=75"
ASICS GT-2160 Sneaker,$120.00 – $140.00,https://www.urbanoutfitters.com/shop/asics-gt-2160-sneaker?category=mens-clothing&color=030,N/A,", , , , https://images.urbndata.com/is/image/UrbanOutfitters/84134709_030_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/84134709_007_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/84134709_080_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/84134709_025_s?fit=constrain&hei=56&qlt=75","Green: https://images.urbndata.com/is/image/UrbanOutfitters/84134709_030_s?fit=constrain&hei=56&qlt=75, Silver: https://images.urbndata.com/is/image/UrbanOutfitters/84134709_007_s?fit=constrain&hei=56&qlt=75, White + Orange Lily: https://images.urbndata.com/is/image/UrbanOutfitters/84134709_080_s?fit=constrain&hei=56&qlt=75, Honey: https://images.urbndata.com/is/image/UrbanOutfitters/84134709_025_s?fit=constrain&hei=56&qlt=75"
Standard Cloth Jason Pleated Trouser Pant,$59.00,https://www.urbanoutfitters.com/shop/standard-cloth-jason-pleated-trouser-pant2?category=mens-clothing&color=021,N/A,", , , , https://images.urbndata.com/is/image/UrbanOutfitters/88704226_021_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/88704226_041_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/88704226_001_s?fit=constrain&hei=56&qlt=75, https://images.urbndata.com/is/image/UrbanOutfitters/88704226_004_s?fit=constrain&hei=56&qlt=75","Chocolate: https://images.urbndata.com/is/image/UrbanOutfitters/88704226_021_s?fit=constrain&hei=56&qlt=75, Estate Blue: https://images.urbndata.com/is/image/UrbanOutfitters/88704226_041_s?fit=constrain&hei=56&qlt=75, Black: https://images.urbndata.com/is/image/UrbanOutfitters/88704226_001_s?fit=constrain&hei=56&qlt=75, Grey: https://images.urbndata.com/is/image/UrbanOutfitters/88704226_004_s?fit=constrain&hei=56&qlt=75"
